system:index,DOY,ID,MCD12Q1v6,NIR,SWIR1,SWIR2,SWIR3,blue,green,red,.geo
2002_01_01_10_0,1,0.0,1,4777,4437,3776,2702,4233,4325,4323,
2002_01_01_11_0,1,1.0,1,4761,4114,3435,2138,3529,3565,4098,
2002_01_01_12_0,1,2.0,1,3016,2966,1841,864,2542,2599,2380,
2002_01_01_13_0,1,3.0,1,7293,5875,4656,2774,6014,6156,7104,
2002_01_01_14_0,1,4.0,1,3685,4040,3157,2452,1720,1934,2704,
2002_01_01_15_0,1,5.0,1,2472,2545,1586,732,925,906,288,
2002_01_01_16_0,1,6.0,1,5656,5459,4665,3388,5094,5186,5342,
2002_01_01_17_0,1,7.0,1,5603,5831,5053,3561,5500,5615,5237,
2002_01_01_18_0,1,8.0,1,7034,6153,5319,3677,5151,5540,6652,
2002_01_01_19_0,1,9.0,1,5494,5311,3995,2311,5501,5524,5418,
2002_01_01_20_0,1,10.0,2,3900,3812,2385,1294,1433,1620,1099,
2002_01_01_21_0,1,11.0,2,2267,2081,982,290,30,173,101,
2002_01_01_22_0,1,12.0,2,3521,2536,1462,881,598,838,1746,
2002_01_01_23_0,1,13.0,2,5065,5155,4643,3807,3845,4011,4153,
2002_01_01_24_0,1,14.0,2,3265,2967,1575,732,1739,1767,1554,
2002_01_01_25_0,1,15.0,2,2640,2650,1234,320,126,306,174,
2002_01_01_26_0,1,16.0,2,3633,3829,2484,1426,1237,1401,1242,
2002_01_01_27_0,1,17.0,2,4726,4753,4012,3012,3532,3691,3599,
2002_01_01_28_0,1,18.0,2,3553,3504,2014,1068,2524,2534,2113,
2002_01_01_29_0,1,19.0,2,2807,2921,1473,474,169,398,230,
2002_01_01_30_0,1,20.0,3,5755,5183,3987,2563,3161,3399,5315,
2002_01_01_31_0,1,21.0,3,2072,1463,902,470,859,832,1365,
2002_01_01_32_0,1,22.0,3,4361,2584,1863,1183,2119,2129,3864,
2002_01_01_33_0,1,23.0,3,3448,3176,1961,1124,910,1053,1249,
2002_01_01_34_0,1,24.0,3,5438,5659,4973,3432,4915,5236,4861,
2002_01_01_35_0,1,25.0,3,1753,1731,987,566,512,554,323,
2002_01_01_36_0,1,26.0,3,1375,2071,1408,686,1753,1654,972,
2002_01_01_37_0,1,27.0,3,2300,2468,1269,482,342,494,2,
2002_01_01_38_0,1,28.0,3,3294,2841,1777,959,2623,2598,2703,
2002_01_01_39_0,1,29.0,3,4624,3850,2825,1780,3313,3312,4210,
2002_01_01_40_0,1,30.0,4,4946,4563,2531,876,187,635,362,
2002_01_01_41_0,1,31.0,4,4788,4300,2445,965,187,563,246,
2002_01_01_42_0,1,32.0,4,5187,3995,3023,1895,2680,2734,4233,
2002_01_01_43_0,1,33.0,4,4238,4007,2175,728,179,644,367,
2002_01_01_44_0,1,34.0,4,4977,4770,2760,1005,253,728,389,
2002_01_01_45_0,1,35.0,4,4759,4715,2691,990,244,690,402,
2002_01_01_46_0,1,36.0,4,4207,3879,2023,618,184,542,275,
2002_01_01_47_0,1,37.0,4,3237,3078,1471,430,127,369,188,
2002_01_01_48_0,1,38.0,4,3638,3513,2072,769,268,761,457,
2002_01_01_49_0,1,39.0,4,2454,2485,1079,320,111,305,153,
2002_01_01_50_0,1,40.0,5,4979,4882,3816,2367,3800,3951,3859,
2002_01_01_51_0,1,41.0,5,2954,3008,1770,674,195,561,993,
2002_01_01_52_0,1,42.0,5,3019,2862,1547,562,184,482,337,
2002_01_01_53_0,1,43.0,5,5538,3623,2325,1166,1596,1706,4090,
2002_01_01_54_0,1,44.0,5,4081,4000,2343,872,218,701,429,
2002_01_01_55_0,1,45.0,5,2897,2885,1566,570,163,461,257,
2002_01_01_56_0,1,46.0,5,5803,5303,3987,2201,5148,5269,5054,
2002_01_01_57_0,1,47.0,5,4135,4200,2831,1484,1840,2142,1562,
2002_01_01_58_0,1,48.0,5,4281,4493,3894,2777,3443,3557,3277,
2002_01_01_59_0,1,49.0,5,4131,3947,2684,1366,1366,1518,1720,
2002_01_01_60_0,1,50.0,6,1420,2100,2114,1530,174,310,387,
2002_01_01_61_0,1,51.0,6,1777,1868,1320,697,888,898,785,
2002_01_01_62_0,1,52.0,6,3530,3399,2308,1260,2424,2479,2533,
2002_01_01_63_0,1,53.0,6,1551,2063,1788,1122,233,337,349,
2002_01_01_64_0,1,54.0,6,3360,3913,2658,1190,354,737,776,
2002_01_01_65_0,1,55.0,6,3249,3227,2624,1683,1851,1965,2345,
2002_01_01_66_0,1,56.0,6,5010,5376,4858,3546,3801,3994,3582,
2002_01_01_67_0,1,57.0,6,3861,4085,3192,1861,1883,2081,1611,
2002_01_01_68_0,1,58.0,6,3423,3809,2482,1057,354,697,748,
2002_01_01_69_0,1,59.0,6,4328,4065,3111,1776,4111,4289,3988,
2002_01_01_70_0,1,60.0,7,3757,4157,2875,1316,317,786,664,
2002_01_01_71_0,1,61.0,7,3911,3960,2696,1571,3413,3440,3289,
2002_01_01_72_0,1,62.0,7,5527,4861,4482,3346,2902,3236,3858,
2002_01_01_73_0,1,63.0,7,1391,1617,1513,937,167,334,386,
2002_01_01_74_0,1,64.0,7,3932,3976,2751,1555,2490,2732,1652,
2002_01_01_75_0,1,65.0,7,1577,2022,2291,1904,712,1004,1166,
2002_01_01_76_0,1,66.0,7,3448,4868,3651,2314,4162,4297,2167,
2002_01_01_77_0,1,67.0,7,3584,3656,2568,1393,286,878,578,
2002_01_01_78_0,1,68.0,7,3771,3867,2895,1874,2495,2601,2431,
2002_01_01_79_0,1,69.0,7,1476,1922,1776,1088,213,408,468,
2002_01_01_80_0,1,70.0,8,4166,3839,2753,1599,3862,3968,3641,
2002_01_01_81_0,1,71.0,8,4061,3931,2583,1332,1274,1591,1570,
2002_01_01_82_0,1,72.0,8,2470,2361,1188,367,109,369,192,
2002_01_01_83_0,1,73.0,8,2946,3466,2244,981,770,966,617,
2002_01_01_84_0,1,74.0,8,3825,3761,2196,1105,150,865,560,
2002_01_01_85_0,1,75.0,8,4139,3676,2721,1617,1449,1681,2199,
2002_01_01_86_0,1,76.0,8,1892,1968,1673,1094,542,730,722,
2002_01_01_87_0,1,77.0,8,3998,3579,2145,894,284,659,494,
2002_01_01_88_0,1,78.0,8,3257,3375,2415,1485,1045,1295,1150,
2002_01_01_89_0,1,79.0,8,4191,4075,3223,2400,999,1679,1505,
2002_01_01_90_0,1,80.0,9,7098,5066,4224,2843,3658,4067,6136,
2002_01_01_91_0,1,81.0,9,3294,2975,1652,593,166,505,322,
2002_01_01_92_0,1,82.0,9,4382,4258,3062,1506,3424,3516,3264,
2002_01_01_93_0,1,83.0,9,2467,2649,2022,1103,1076,1135,1557,
2002_01_01_94_0,1,84.0,9,3751,3436,2885,1937,1971,2215,2507,
2002_01_01_95_0,1,85.0,9,2607,3060,1977,834,1076,1208,873,
2002_01_01_96_0,1,86.0,9,3019,2896,1725,650,317,574,348,
2002_01_01_97_0,1,87.0,9,3923,3043,2019,924,492,676,2359,
2002_01_01_98_0,1,88.0,9,3691,3672,2486,994,275,744,504,
2002_01_01_99_0,1,89.0,9,2058,2111,1319,690,509,637,449,
2002_01_01_100_0,1,90.0,10,2987,3450,2336,1012,238,618,582,
2002_01_01_101_0,1,91.0,10,1822,1800,1493,847,256,467,566,
2002_01_01_102_0,1,92.0,10,1794,2219,1663,913,210,451,429,
2002_01_01_103_0,1,93.0,10,2317,1978,1380,642,201,449,178,
2002_01_01_104_0,1,94.0,10,1969,2731,2725,1790,398,714,930,
2002_01_01_105_0,1,95.0,10,4686,4328,2863,1765,3810,3850,4118,
2002_01_01_106_0,1,96.0,10,2411,3154,2496,1581,2190,2270,1926,
2002_01_01_107_0,1,97.0,10,3490,3497,2413,1440,2796,2837,2931,
2002_01_01_108_0,1,98.0,10,1662,2909,2509,1638,968,1355,1487,
2002_01_01_109_0,1,99.0,10,2390,3349,2633,1411,229,608,696,
2002_01_01_110_0,1,100.0,11,3796,4033,2936,1412,420,876,799,
2002_01_01_111_0,1,101.0,11,2714,1502,843,284,530,908,710,
2002_01_01_112_0,1,102.0,11,2747,3184,2329,1043,350,752,681,
2002_01_01_113_0,1,103.0,11,3831,3726,3230,2525,2616,2842,2751,
2002_01_01_114_0,1,104.0,11,1696,1531,1057,527,864,944,1104,
2002_01_01_115_0,1,105.0,11,3195,1273,682,356,313,487,2131,
2002_01_01_116_0,1,106.0,11,3887,3600,2437,1086,211,783,729,
2002_01_01_117_0,1,107.0,11,2591,2956,1690,925,2209,2250,2087,
2002_01_01_118_0,1,108.0,11,4176,4252,2759,1115,266,815,539,
2002_01_01_119_0,1,109.0,11,1081,2198,1107,366,258,563,1148,
2002_01_01_120_0,1,110.0,12,3864,3827,2762,1673,478,974,954,
2002_01_01_121_0,1,111.0,12,3569,4121,2684,1352,48,567,1409,
2002_01_01_122_0,1,112.0,12,4215,4588,4009,2551,494,1153,1317,
2002_01_01_123_0,1,113.0,12,5030,4397,2626,1082,1145,1239,1104,
2002_01_01_124_0,1,114.0,12,4717,4556,2948,1280,323,800,819,
2002_01_01_125_0,1,115.0,12,4926,4671,3721,2221,3064,3323,3233,
2002_01_01_126_0,1,116.0,12,5159,4502,2825,1254,313,886,495,
2002_01_01_127_0,1,117.0,12,3517,4187,3868,2478,692,1205,1412,
2002_01_01_128_0,1,118.0,12,4613,4724,3165,1378,340,923,840,
2002_01_01_129_0,1,119.0,12,5665,4075,2422,1009,1007,1135,853,
2002_01_01_130_0,1,120.0,13,1686,1953,1735,1324,617,835,894,
2002_01_01_131_0,1,121.0,13,2887,3250,2735,1967,896,1384,1567,
2002_01_01_132_0,1,122.0,13,5462,4224,2795,1373,4178,4268,5196,
2002_01_01_133_0,1,123.0,13,3476,3644,2879,1715,561,1099,1181,
2002_01_01_134_0,1,124.0,13,2210,2538,2320,1780,826,1142,1502,
2002_01_01_135_0,1,125.0,13,1814,2322,2317,1920,596,869,951,
2002_01_01_136_0,1,126.0,13,1746,2040,2041,1817,941,1316,1482,
2002_01_01_137_0,1,127.0,13,2580,2541,2244,1578,450,784,802,
2002_01_01_138_0,1,128.0,13,3750,3297,1871,710,258,629,399,
2002_01_01_139_0,1,129.0,13,4097,4058,3441,2192,632,1265,1088,
2002_01_01_140_0,1,130.0,14,2854,2745,1915,1106,417,760,699,
2002_01_01_141_0,1,131.0,14,4170,4165,3536,2559,1982,2243,2266,
2002_01_01_142_0,1,132.0,14,4391,4179,2715,1158,292,876,584,
2002_01_01_143_0,1,133.0,14,4620,4595,3200,1360,403,1098,900,
2002_01_01_144_0,1,134.0,14,3425,3262,2257,1134,549,965,953,
2002_01_01_145_0,1,135.0,14,3897,3698,3126,2294,2179,2308,2471,
2002_01_01_146_0,1,136.0,14,2236,2640,2308,1724,499,829,840,
2002_01_01_147_0,1,137.0,14,2041,2623,1820,833,228,455,432,
2002_01_01_148_0,1,138.0,14,3191,3181,1927,817,314,727,519,
2002_01_01_149_0,1,139.0,14,2965,2691,1871,972,360,659,736,
2002_01_01_150_0,1,140.0,15,4613,3144,2143,1462,4122,4191,4708,
2002_01_01_151_0,1,141.0,15,4817,2792,1530,892,4895,5148,5140,
2002_01_01_152_0,1,142.0,15,0,2902,1771,1302,5386,5589,9705,
2002_01_01_153_0,1,143.0,15,4571,2653,1449,1024,4698,4864,4755,
2002_01_01_154_0,1,144.0,15,5362,2027,1051,769,6533,7036,6455,
2002_01_01_155_0,1,145.0,15,5644,2661,1378,1049,5771,6079,6430,
2002_01_01_156_0,1,146.0,15,6096,2370,724,331,6192,6611,7065,
2002_01_01_157_0,1,147.0,15,5048,2409,1075,627,5571,5898,5791,
2002_01_01_158_0,1,148.0,15,4003,2640,1835,1339,4163,4260,4296,
2002_01_01_159_0,1,149.0,15,7267,3881,1255,624,7666,8200,8176,
2002_01_01_160_0,1,150.0,16,1380,1677,1655,1370,583,885,1070,
2002_01_01_161_0,1,151.0,16,4658,4596,3470,2558,3644,3757,4547,
2002_01_01_162_0,1,152.0,16,1702,2354,1861,1046,972,1084,619,
2002_01_01_163_0,1,153.0,16,4096,2357,1864,1613,4381,4603,4935,
2002_01_01_164_0,1,154.0,16,1246,1340,1389,1222,853,1140,1119,
2002_01_01_165_0,1,155.0,16,5373,5199,3222,1932,5274,5426,5056,
2002_01_01_166_0,1,156.0,16,3918,2434,2156,1722,2388,2666,4122,
2002_01_01_167_0,1,157.0,16,585,1464,1239,1013,1355,1409,612,
2002_01_01_168_0,1,158.0,16,1399,1263,1256,1029,1041,1199,1398,
2002_01_01_169_0,1,159.0,16,3852,4241,3424,2482,2890,3048,2733,
2002_01_01_170_0,1,160.0,17,391,332,308,193,867,1140,710,
2002_01_01_171_0,1,161.0,17,359,203,164,91,714,1019,968,
2002_01_01_172_0,1,162.0,17,-9,62,426,345,260,163,12,
2002_01_01_173_0,1,163.0,17,13,57,133,107,205,184,15,
2002_01_01_174_0,1,164.0,17,1238,979,1009,827,1709,2262,2418,
2002_01_01_175_0,1,165.0,17,845,395,348,239,834,1194,1411,
2002_01_01_176_0,1,166.0,17,-19,3,145,98,308,383,37,
2002_01_01_177_0,1,167.0,17,971,675,408,234,756,1253,1496,
2002_01_01_178_0,1,168.0,17,217,383,344,276,456,534,310,
2002_01_01_179_0,1,169.0,17,1192,2879,3245,2298,689,1152,941,
2002_01_09_10_0,9,0.0,1,3857,4177,3568,2493,3206,3376,2944,
2002_01_09_11_0,9,1.0,1,4950,4799,3982,2784,1995,2781,3503,
2002_01_09_12_0,9,2.0,1,2552,2379,1753,879,834,1147,1393,
2002_01_09_13_0,9,3.0,1,3452,3293,2192,1314,377,805,1201,
2002_01_09_14_0,9,4.0,1,2189,3218,2460,1600,1498,1622,868,
2002_01_09_15_0,9,5.0,1,5359,5100,4358,3073,4774,5075,5051,
2002_01_09_16_0,9,6.0,1,2282,2827,2126,1186,964,1030,843,
2002_01_09_17_0,9,7.0,1,2292,2534,1672,1002,705,834,649,
2002_01_09_18_0,9,8.0,1,5563,5758,5028,3585,3985,4233,4422,
2002_01_09_19_0,9,9.0,1,2786,3261,2183,1402,780,952,1017,
2002_01_09_20_0,9,10.0,2,4515,4157,2180,694,208,571,305,
2002_01_09_21_0,9,11.0,2,2509,2464,1161,353,128,300,163,
2002_01_09_22_0,9,12.0,2,4599,4195,2167,723,159,527,283,
2002_01_09_23_0,9,13.0,2,3115,2963,1625,595,149,422,271,
2002_01_09_24_0,9,14.0,2,2854,3176,1620,582,786,853,377,
2002_01_09_25_0,9,15.0,2,3787,3932,2023,638,260,581,339,
2002_01_09_26_0,9,16.0,2,4098,3696,2227,995,472,762,345,
2002_01_09_27_0,9,17.0,2,3787,3881,2283,912,643,884,1064,
2002_01_09_28_0,9,18.0,2,4819,4583,2511,830,332,720,452,
2002_01_09_29_0,9,19.0,2,3261,3397,1772,569,252,519,328,
2002_01_09_30_0,9,20.0,3,4367,4103,3529,2523,3337,3380,3450,
2002_01_09_31_0,9,21.0,3,2259,2703,2050,1376,1802,1783,1193,
2002_01_09_32_0,9,22.0,3,3056,2925,2424,1723,2142,2224,2176,
2002_01_09_33_0,9,23.0,3,7491,6725,5605,3749,5606,5968,6881,
2002_01_09_34_0,9,24.0,3,2931,2800,2089,1459,1297,1322,1424,
2002_01_09_35_0,9,25.0,3,1692,1889,1155,687,963,977,645,
2002_01_09_36_0,9,26.0,3,4011,3922,3269,2407,2501,2599,2906,
2002_01_09_37_0,9,27.0,3,4146,3922,3269,2407,2501,2599,2869,
2002_01_09_38_0,9,28.0,3,3669,4093,3016,2028,3256,3414,2756,
2002_01_09_39_0,9,29.0,3,3215,2925,2424,1723,2142,2224,2292,
2002_01_09_40_0,9,30.0,4,2896,2677,1203,306,64,279,132,
2002_01_09_41_0,9,31.0,4,3898,3506,1956,706,87,388,420,
2002_01_09_42_0,9,32.0,4,3848,3930,2151,703,192,617,365,
2002_01_09_43_0,9,33.0,4,2908,2626,1269,402,113,357,172,
2002_01_09_44_0,9,34.0,4,1102,1639,1082,635,829,834,402,
2002_01_09_45_0,9,35.0,4,3155,2935,1654,853,476,745,806,
2002_01_09_46_0,9,36.0,4,3866,3532,1747,457,39,341,127,
2002_01_09_47_0,9,37.0,4,2678,2565,1194,324,125,328,192,
2002_01_09_48_0,9,38.0,4,4910,4348,2586,1033,905,1256,1529,
2002_01_09_49_0,9,39.0,4,2658,2686,1259,312,18,260,109,
2002_01_09_50_0,9,40.0,5,2210,2734,1807,1036,782,948,443,
2002_01_09_51_0,9,41.0,5,3580,3676,2200,791,220,683,486,
2002_01_09_52_0,9,42.0,5,2869,2336,1135,320,63,291,166,
2002_01_09_53_0,9,43.0,5,3645,3613,2608,1410,891,1180,555,
2002_01_09_54_0,9,44.0,5,3672,2897,1518,553,169,585,178,
2002_01_09_55_0,9,45.0,5,3347,3763,2341,1147,1049,1277,1146,
2002_01_09_56_0,9,46.0,5,2825,2675,1522,574,675,885,660,
2002_01_09_57_0,9,47.0,5,2897,2967,1754,664,159,468,320,
2002_01_09_58_0,9,48.0,5,3705,3628,2864,1633,1251,1486,2025,
2002_01_09_59_0,9,49.0,5,2448,2824,1889,948,288,574,516,
2002_01_09_60_0,9,50.0,6,1382,2169,1968,1306,250,349,415,
2002_01_09_61_0,9,51.0,6,4959,3260,2014,936,3006,3103,4486,
2002_01_09_62_0,9,52.0,6,4797,3142,2216,1306,2232,2096,3773,
2002_01_09_63_0,9,53.0,6,1459,1742,1617,961,258,331,341,
2002_01_09_64_0,9,54.0,6,3582,4253,2833,1310,374,767,873,
2002_01_09_65_0,9,55.0,6,4132,4502,3427,1969,1175,1495,1012,
2002_01_09_66_0,9,56.0,6,3357,3890,3207,2241,2649,2699,1943,
2002_01_09_67_0,9,57.0,6,3877,3970,2810,1434,919,1263,937,
2002_01_09_68_0,9,58.0,6,3830,4324,3239,1658,413,821,700,
2002_01_09_69_0,9,59.0,6,6639,5339,4743,3232,4689,4976,6009,
2002_01_09_70_0,9,60.0,7,2411,3587,2797,1799,2063,2249,1051,
2002_01_09_71_0,9,61.0,7,2272,2671,1690,659,274,709,460,
2002_01_09_72_0,9,62.0,7,2957,3023,2076,897,325,763,552,
2002_01_09_73_0,9,63.0,7,2000,2441,2322,1462,271,522,555,
2002_01_09_74_0,9,64.0,7,4033,3750,2473,1020,337,823,633,
2002_01_09_75_0,9,65.0,7,1776,2354,2678,2371,839,1176,1343,
2002_01_09_76_0,9,66.0,7,5830,5712,4441,3036,5499,5662,5338,
2002_01_09_77_0,9,67.0,7,4520,4436,3420,2171,2134,2468,2464,
2002_01_09_78_0,9,68.0,7,3431,3742,2438,1042,235,648,492,
2002_01_09_79_0,9,69.0,7,1981,2555,2472,1700,283,596,739,
2002_01_09_80_0,9,70.0,8,3397,3599,2284,923,598,1245,1194,
2002_01_09_81_0,9,71.0,8,4927,4406,2664,1170,418,1082,725,
2002_01_09_82_0,9,72.0,8,4588,3200,2205,1189,1682,1912,3222,
2002_01_09_83_0,9,73.0,8,4442,2824,1742,797,1255,1311,2940,
2002_01_09_84_0,9,74.0,8,3210,3147,1828,867,338,729,562,
2002_01_09_85_0,9,75.0,8,4887,3902,2572,1271,912,1244,2199,
2002_01_09_86_0,9,76.0,8,1701,2246,1786,892,278,456,445,
2002_01_09_87_0,9,77.0,8,4099,2733,1909,1100,822,1104,574,
2002_01_09_88_0,9,78.0,8,3600,3685,3125,1992,1488,1798,1709,
2002_01_09_89_0,9,79.0,8,2094,2460,1401,525,157,431,292,
2002_01_09_90_0,9,80.0,9,3862,3363,2175,906,310,893,587,
2002_01_09_91_0,9,81.0,9,5702,5604,5027,3703,4677,4928,4827,
2002_01_09_92_0,9,82.0,9,3925,3887,3195,2341,2034,2284,2496,
2002_01_09_93_0,9,83.0,9,3472,4005,3310,2019,516,1194,972,
2002_01_09_94_0,9,84.0,9,2313,2344,1782,1078,1042,1171,1043,
2002_01_09_95_0,9,85.0,9,6350,4764,3449,1842,2875,3171,5235,
2002_01_09_96_0,9,86.0,9,3206,3077,1836,674,348,601,396,
2002_01_09_97_0,9,87.0,9,2399,3269,2432,1406,838,1291,832,
2002_01_09_98_0,9,88.0,9,3322,3634,2563,1141,345,797,691,
2002_01_09_99_0,9,89.0,9,2917,2803,1664,856,602,981,1024,
2002_01_09_100_0,9,90.0,10,2872,2997,2055,894,207,517,409,
2002_01_09_101_0,9,91.0,10,2535,3016,2597,1663,580,971,991,
2002_01_09_102_0,9,92.0,10,3309,3176,2388,1283,17,541,963,
2002_01_09_103_0,9,93.0,10,3256,3436,2441,1354,1144,1377,1279,
2002_01_09_104_0,9,94.0,10,1838,2719,2734,1680,387,667,861,
2002_01_09_105_0,9,95.0,10,2806,3399,2741,1540,653,1038,844,
2002_01_09_106_0,9,96.0,10,921,1954,1388,718,145,342,150,
2002_01_09_107_0,9,97.0,10,1140,1535,1218,677,632,715,403,
2002_01_09_108_0,9,98.0,10,5229,3819,2767,1469,3057,3270,4492,
2002_01_09_109_0,9,99.0,10,4177,3437,2616,1318,1971,2223,3180,
2002_01_09_110_0,9,100.0,11,2430,2504,1596,814,1435,1458,1166,
2002_01_09_111_0,9,101.0,11,2738,2512,2018,1488,1346,1816,2159,
2002_01_09_112_0,9,102.0,11,1962,2194,1456,557,191,434,412,
2002_01_09_113_0,9,103.0,11,3401,2816,1448,551,300,732,485,
2002_01_09_114_0,9,104.0,11,1487,1450,1079,520,196,336,345,
2002_01_09_115_0,9,105.0,11,2522,1675,970,567,576,793,1410,
2002_01_09_116_0,9,106.0,11,2464,2209,1243,515,1721,1841,1653,
2002_01_09_117_0,9,107.0,11,3767,2502,1281,367,273,731,377,
2002_01_09_118_0,9,108.0,11,4180,3633,2293,1056,1150,1410,1643,
2002_01_09_119_0,9,109.0,11,1621,1140,674,316,564,1042,967,
2002_01_09_120_0,9,110.0,12,3165,2175,1567,1005,1218,1355,2067,
2002_01_09_121_0,9,111.0,12,1479,1939,1095,408,150,351,175,
2002_01_09_122_0,9,112.0,12,4162,3760,2375,1200,2186,2313,2000,
2002_01_09_123_0,9,113.0,12,5075,4292,2393,767,160,505,239,
2002_01_09_124_0,9,114.0,12,2769,3509,2035,808,202,477,891,
2002_01_09_125_0,9,115.0,12,3293,2517,1421,626,1319,1320,1593,
2002_01_09_126_0,9,116.0,12,3831,3309,1984,795,266,649,472,
2002_01_09_127_0,9,117.0,12,2756,3385,2945,1694,459,797,1180,
2002_01_09_128_0,9,118.0,12,4079,3259,2048,968,933,1149,436,
2002_01_09_129_0,9,119.0,12,5417,4317,3002,1482,2308,2514,2366,
2002_01_09_130_0,9,120.0,13,1824,1846,1514,1003,489,697,736,
2002_01_09_131_0,9,121.0,13,2354,2590,1872,1097,450,806,836,
2002_01_09_132_0,9,122.0,13,1403,1752,1283,705,873,974,755,
2002_01_09_133_0,9,123.0,13,3396,3697,3027,1916,634,1150,1287,
2002_01_09_134_0,9,124.0,13,2521,2476,2198,1582,583,913,1626,
2002_01_09_135_0,9,125.0,13,1690,2233,2208,1840,642,863,864,
2002_01_09_136_0,9,126.0,13,2768,3184,3252,2853,1326,1868,2363,
2002_01_09_137_0,9,127.0,13,2710,2762,2601,1880,490,821,875,
2002_01_09_138_0,9,128.0,13,3109,2975,1671,598,198,537,281,
2002_01_09_139_0,9,129.0,13,4414,4756,3868,2293,1792,2157,2260,
2002_01_09_140_0,9,130.0,14,2953,2643,1785,1006,391,699,662,
2002_01_09_141_0,9,131.0,14,3871,4171,3499,2466,2921,3051,2442,
2002_01_09_142_0,9,132.0,14,3371,2988,1828,753,196,580,401,
2002_01_09_143_0,9,133.0,14,3789,3680,2894,1798,1408,1671,1617,
2002_01_09_144_0,9,134.0,14,1601,2999,2006,905,379,738,452,
2002_01_09_145_0,9,135.0,14,4558,3725,2886,1846,576,1180,1382,
2002_01_09_146_0,9,136.0,14,2024,2104,1457,774,277,527,449,
2002_01_09_147_0,9,137.0,14,2206,2853,1958,897,271,548,537,
2002_01_09_148_0,9,138.0,14,2978,3011,1867,862,336,739,511,
2002_01_09_149_0,9,139.0,14,1944,3005,2517,1863,2023,2169,1047,
2002_01_09_150_0,9,140.0,15,6245,6071,4959,3641,6011,6257,6220,
2002_01_09_151_0,9,141.0,15,6997,6026,3383,1674,6790,6894,6982,
2002_01_09_152_0,9,142.0,15,5188,3422,2757,1797,3921,4019,5185,
2002_01_09_153_0,9,143.0,15,0,3529,773,241,7547,7999,9809,
2002_01_09_154_0,9,144.0,15,6850,4653,2085,1459,7873,8464,7397,
2002_01_09_155_0,9,145.0,15,4276,1700,1168,944,3033,3148,4497,
2002_01_09_156_0,9,146.0,15,6484,4592,2167,1234,6740,6901,6897,
2002_01_09_157_0,9,147.0,15,5634,3409,1812,1075,4932,5107,5999,
2002_01_09_158_0,9,148.0,15,8126,6298,5893,4606,6517,6864,7960,
2002_01_09_159_0,9,149.0,15,6684,4402,2071,1171,6817,7191,7041,
2002_01_09_160_0,9,150.0,16,1508,2021,2052,1698,103,617,921,
2002_01_09_161_0,9,151.0,16,1184,1311,1078,759,738,727,995,
2002_01_09_162_0,9,152.0,16,4632,4113,3117,1832,4417,4575,4443,
2002_01_09_163_0,9,153.0,16,6265,5120,4618,3712,5167,5685,6350,
2002_01_09_164_0,9,154.0,16,5161,2295,629,206,5534,5799,5649,
2002_01_09_165_0,9,155.0,16,2517,2108,1926,1491,597,1121,2049,
2002_01_09_166_0,9,156.0,16,2428,2669,2827,2420,1751,1906,2148,
2002_01_09_167_0,9,157.0,16,2441,1965,1898,1584,1843,1876,2324,
2002_01_09_168_0,9,158.0,16,1409,1007,847,684,1044,1154,1325,
2002_01_09_169_0,9,159.0,16,227,1039,739,155,398,698,815,
2002_01_09_170_0,9,160.0,17,2016,1529,1326,874,1519,1789,2020,
2002_01_09_171_0,9,161.0,17,339,83,79,0,527,957,1032,
2002_01_09_172_0,9,162.0,17,-100,83,674,610,187,39,-100,
2002_01_09_173_0,9,163.0,17,-6,-20,101,75,58,38,-7,
2002_01_09_174_0,9,164.0,17,158,83,264,227,46,170,204,
2002_01_09_175_0,9,165.0,17,554,103,66,56,529,1100,1377,
2002_01_09_176_0,9,166.0,17,2,13,91,63,450,339,61,
2002_01_09_177_0,9,167.0,17,1422,671,591,399,1045,1677,2266,
2002_01_09_178_0,9,168.0,17,13,-9,57,52,289,532,233,
2002_01_09_179_0,9,169.0,17,1582,2507,2343,1907,665,1097,1360,
2002_01_17_10_0,17,0.0,1,3091,2215,1607,833,2079,2004,2734,
2002_01_17_11_0,17,1.0,1,5432,4952,2954,1546,4790,4891,4841,
2002_01_17_12_0,17,2.0,1,1187,931,569,230,128,312,169,
2002_01_17_13_0,17,3.0,1,5185,4990,3491,2035,4293,4451,4472,
2002_01_17_14_0,17,4.0,1,4766,4553,3434,1943,4222,4348,4287,
2002_01_17_15_0,17,5.0,1,4623,4666,3378,2149,4201,4289,3920,
2002_01_17_16_0,17,6.0,1,7555,6624,4992,3030,5747,6066,6787,
2002_01_17_17_0,17,7.0,1,2775,3087,2486,1796,2277,2282,1953,
2002_01_17_18_0,17,8.0,1,2990,3110,2231,1265,2626,2630,2326,
2002_01_17_19_0,17,9.0,1,6503,4238,3305,2199,3191,3286,5703,
2002_01_17_20_0,17,10.0,2,4038,4031,2857,1997,1735,1914,1684,
2002_01_17_21_0,17,11.0,2,2893,2301,1257,580,876,841,755,
2002_01_17_22_0,17,12.0,2,2920,2851,1494,690,1200,1197,782,
2002_01_17_23_0,17,13.0,2,2662,2688,1974,1348,1603,1662,1441,
2002_01_17_24_0,17,14.0,2,3891,3833,2165,751,210,548,322,
2002_01_17_25_0,17,15.0,2,2374,2377,1056,230,91,235,114,
2002_01_17_26_0,17,16.0,2,2936,2737,1512,615,379,570,547,
2002_01_17_27_0,17,17.0,2,3540,3904,2210,972,701,845,455,
